  70 |   6 | 143.90 | 2013-12-08
  67 |   1 |  27.70 | 2013-12-08
  66 |   9 | 232.00 | 2013-12-08
  65 |   7 | 198.70 | 2013-12-08
  69 |   4 | 106.00 | 2013-12-08
  75 |   4 | 120.00 | 2013-12-09
  78 |   9 | 267.40 | 2013-12-09
  74 |   2 |  31.50 | 2013-12-09
  76 |   6 | 123.00 | 2013-12-09
  73 |   2 |  55.40 | 2013-12-09
  72 |   5 | 127.10 | 2013-12-09
  77 |   7 | 135.60 | 2013-12-09
  84 |   9 | 194.30 | 2013-12-10
  83 |   6 | 145.90 | 2013-12-10
  85 |   1 |  21.00 | 2013-12-10
  79 |   1 |  43.00 | 2013-12-10
  80 |   3 |  90.40 | 2013-12-10
  82 |   6 | 171.30 | 2013-12-10
  81 |   3 | 104.00 | 2013-12-10
  90 |   8 | 154.70 | 2013-12-11
  86 |   3 |  67.20 | 2013-12-11
  92 |   2 |  48.40 | 2013-12-11
  91 |   2 |  35.00 | 2013-12-11
  88 |   6 | 127.70 | 2013-12-11
  89 |   6 | 141.10 | 2013-12-11
  87 |   4 |  78.00 | 2013-12-11
  98 |   3 |  73.40 | 2013-12-12
  93 |   5 | 140.40 | 2013-12-12
  97 |   1 |  18.00 | 2013-12-12
  96 |   9 | 215.50 | 2013-12-12
  95 |   7 | 185.40 | 2013-12-12
  99 |   3 |  81.90 | 2013-12-12
  94 |   5 | 140.20 | 2013-12-12
 105 |   5 | 118.00 | 2013-12-13
 104 |   3 |  55.70 | 2013-12-13
 106 |   5 | 116.50 | 2013-12-13
 102 |   8 | 203.90 | 2013-12-13
 101 |   7 | 174.20 | 2013-12-13
 103 |   1 |  19.00 | 2013-12-13
 100 |   6 | 132.70 | 2013-12-13
 109 |   2 |  70.00 | 2013-12-14
 110 |   3 |  84.20 | 2013-12-14
 111 |   4 |  94.70 | 2013-12-14
 112 |   5 | 129.00 | 2013-12-14
 107 |   6 | 156.60 | 2013-12-14
 108 |   8 | 212.20 | 2013-12-14
 113 |   8 | 222.90 | 2013-12-14
 119 |   7 | 148.60 | 2013-12-15
 120 |   8 | 190.20 | 2013-12-15
 116 |   3 |  53.00 | 2013-12-15
 115 |   1 |  15.00 | 2013-12-15
 117 |   4 |  85.20 | 2013-12-15
 118 |   6 | 162.90 | 2013-12-15
 114 |   7 | 161.90 | 2013-12-15
 123 |   4 | 119.40 | 2013-12-16
 127 |   1 |  19.00 | 2013-12-16
 122 |   3 |  58.20 | 2013-12-16
 121 |   2 |  64.40 | 2013-12-16
 124 |   5 | 126.00 | 2013-12-16
 125 |   7 | 224.10 | 2013-12-16
 126 |   9 | 247.00 | 2013-12-16
 129 |   4 | 101.40 | 2013-12-17
 133 |   2 |  28.00 | 2013-12-17
 131 |   7 | 199.00 | 2013-12-17
 132 |   7 | 156.70 | 2013-12-17
 130 |   6 | 152.70 | 2013-12-17
 128 |   3 |  67.00 | 2013-12-17
 134 |   9 | 175.40 | 2013-12-17
 140 |   3 |  68.20 | 2013-12-18
 139 |   1 |  18.00 | 2013-12-18
 138 |   9 | 290.40 | 2013-12-18
 137 |   7 | 188.60 | 2013-12-18
 141 |   3 |  98.40 | 2013-12-18
 148 |   6 | 142.00 | 2013-12-19
 145 |   1 |  18.00 | 2013-12-19
 146 |   3 |  66.00 | 2013-12-19
 144 |   9 | 232.70 | 2013-12-19
 142 |   5 | 143.80 | 2013-12-19
 147 |   4 |  92.00 | 2013-12-19
 143 |   6 | 157.20 | 2013-12-19
 149 |   7 | 158.00 | 2013-12-20
